artist,album,release year,rating
porttitor,ipsum primis,1973,1
et magnis dis,curae donec pharetra,2006,1
in congue,tristique in tempus,2009,1
vivamus metus,primis in,1975,2
accumsan tortor,amet,1977,4
suscipit nulla elit,ac,1983,4
aliquet maecenas leo,ipsum,1909,3
ultrices,faucibus cursus,1969,2
posuere,est,1922,5
dapibus augue,lacus at,1984,1
tortor,rutrum,1967,2
id turpis,justo morbi,1961,3
risus praesent lectus,montes,1917,5
molestie nibh in,justo in,1955,3
id,aliquet at,1911,5
turpis,eget elit sodales,1952,2
nibh in lectus,luctus,1947,2
ante,potenti,1922,4
ultrices phasellus id,nisi venenatis,1979,2
sit,vestibulum,2000,2
aliquam erat volutpat,vel lectus,1947,1
sodales scelerisque,in,2010,4
sociis natoque,convallis,1989,1
eu mi,mattis egestas metus,2007,2
molestie,quis,1932,1
dis parturient,mus etiam vel,2011,5
pede,ultrices posuere,1985,1
blandit nam,ullamcorper purus,1999,5
etiam,sit,1960,5
primis in,sed nisl nunc,1983,5
ac consequat,erat,1984,1
vel dapibus at,fermentum,1980,1
tincidunt,odio condimentum id,1993,1
et magnis dis,in sapien,1981,4
tempus vel,leo,2009,1
elementum pellentesque quisque,lorem,1963,5
ac est,felis ut at,1922,4
elit proin interdum,lacus at turpis,1943,4
pede,erat id mauris,1920,5
quis tortor,luctus et ultrices,2003,3
mattis,nulla,2012,2
pede lobortis ligula,non,1924,2
convallis nulla,proin risus,1980,3
lectus pellentesque eget,quis,1967,4
quis lectus suspendisse,ac diam,1904,4
posuere metus,sed augue,1938,5
lacus,justo maecenas rhoncus,1921,2
quis libero,est,1962,1
dolor sit amet,mauris morbi,1926,5
non mauris morbi,non ligula pellentesque,1905,2
eleifend donec ut,lobortis vel dapibus,1930,1
in,pede venenatis,1983,5
sapien varius ut,hac habitasse platea,1967,3
vel ipsum praesent,hac,2007,3
ipsum primis in,dis parturient montes,1942,2
dapibus augue vel,aliquam erat volutpat,1903,5
interdum eu,a libero,1930,3
donec vitae nisi,quam sollicitudin vitae,1908,2
in,curabitur,2010,1
nibh in quis,dapibus duis at,1999,1
proin leo,volutpat eleifend donec,1951,1
ipsum integer,volutpat,1987,5
tincidunt,nulla facilisi,1948,2
amet,ut ultrices,2003,1
felis eu sapien,pellentesque,1960,5
et,lobortis convallis,1926,5
praesent id massa,curabitur in,1920,5
orci luctus,lorem,1934,1
ipsum aliquam,gravida sem praesent,1974,3
nullam,et ultrices posuere,1967,1
ornare consequat,risus semper,2002,5
aenean sit,ornare,1922,2
eros vestibulum ac,sodales sed tincidunt,1943,1
augue a,nunc,1952,5
ac nulla sed,morbi sem mauris,1967,3
libero convallis,congue etiam,1998,3
ut ultrices,non,1926,5
donec,quam pharetra,1956,4
sem duis,posuere,1909,5
turpis integer,duis,1912,5
tincidunt,congue diam id,1994,2
nulla,eros suspendisse accumsan,2002,3
quisque ut,sit amet,1922,5
ligula nec,eu felis,2012,2
justo morbi ut,nulla integer,1992,1
enim,felis ut,2007,5
est et,odio,1911,5
dolor sit,vehicula consequat,1909,5
imperdiet sapien,nisl duis,1906,1
cursus vestibulum proin,libero,1903,4
massa,habitasse,1992,1
vestibulum aliquet,ligula suspendisse,2000,5
enim blandit,ac,1954,5
faucibus orci,in congue etiam,1998,1
rutrum,amet turpis,1984,5
ipsum dolor sit,neque,1935,1
ante,sed augue aliquam,1995,4
sem mauris laoreet,mi,2005,3
felis,a,1988,2
eleifend,id,1949,5
volutpat in,rutrum,1927,5
amet,commodo,1914,5
consequat in consequat,mauris enim leo,1908,2
ut blandit non,ante ipsum,1923,4
lectus pellentesque at,aenean lectus pellentesque,2004,2
fusce posuere felis,hac habitasse,2009,2
odio curabitur,lectus in,1972,3
primis in faucibus,vel,1939,1
purus phasellus,consectetuer adipiscing elit,1978,4
ut,in,1961,1
non velit nec,id consequat in,1993,3
sed,porttitor,1958,2
mi,penatibus et,1942,2
ipsum primis in,condimentum curabitur in,1908,4
blandit nam nulla,pellentesque at,1970,1
ipsum primis,vestibulum vestibulum,1935,1
quisque,aenean sit amet,1978,4
erat eros,mauris lacinia sapien,1980,5
ligula vehicula,volutpat dui,2003,3
semper est,nibh in hac,1999,3
nulla,neque,1911,4
sit amet,luctus,1991,4
at feugiat non,est phasellus sit,2014,2
vitae,adipiscing lorem,1976,1
aliquam,dolor vel,1909,2
aliquam convallis,condimentum id,1916,2
dis,nunc proin at,1925,5
libero,augue vestibulum rutrum,2003,2
cubilia,lobortis sapien,1917,4
nullam porttitor lacus,pede venenatis non,1917,4
semper rutrum,maecenas tristique,1902,3
ut suscipit,turpis elementum,1922,1
at lorem integer,pellentesque volutpat dui,1940,5
pharetra,rutrum nulla tellus,1970,4
ridiculus mus vivamus,a,1963,5
facilisi cras,mauris viverra,2000,3
rhoncus dui vel,sed sagittis nam,2015,5
in hac,nascetur ridiculus,1959,4
velit donec,elementum nullam,1998,2
at,non interdum,1902,1
